LFDNR,KITA_ID,E_NAME,ADRESSE,RECHTSWERT,HOCHWERT,HOMEPAGE,BEZIRK
881,82,Die Kanalhaie,Nordkirchenweg 100,403616,5753380,-,Amelsbüren
297,106,Claudius-Kindergarten,Wierling 31,398481,5753484,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-west/claudius-kiga/,Albachten
33,159,Sterntaler,Mauritz-Lindenweg 61,407712,5757676,http://www.hvghirten.de/php/kita.php,Herz-Jesu
88,102,Kotenkotten,Schwarzer Kamp 68,401515,5753873,https://www.kotenkotten.de/,Mecklenbeck
473,,Brillux,Weseler Straße 567a,402740,5753798,https://www.b-kids.de/,Pluggendorf
764,372,Wurzelkinder,Nünningweg 133,400879,5758685,https://wurzelkinderms.wordpress.com/,Gievenbeck
168,81,Kindertagesstaette 71,Kappenberger Damm 229,404042,5753588,http://www.derkotten.de,Geist
111,172,Im Moorhock,Im Moorhock 71,404188,5760776,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kinderhaus-Ost
124,5,St. Margareta,Peter-Rosegger-Weg 57,408978,5756381,http://margaretenkindergarten.sanktbenedikt.de,Mauritz-Ost
45,19,Rappelkiste,Hafenstraße 3,405720,5756947,http://www.rappelkiste.org,Mitte
925,412,Beckstraße interim,Beckstraße 26,403899,5755686,-,Aaseestadt
761,77,Kaninchenbau (ehem. Krümelmonster),Sentmaringer Weg 118,405258,5755829,http://www.kita-kruemelmonster.de/,Geist
85,104,In der Alten Schule,Dingbängerweg 103,402327,5754511,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Mecklenbeck
91,107,Kinderhof,Welsingheide 275,399711,5754223,http://www.kitakinderhof.de,Roxel
132,2,Eichenaue,Eichenaue 3,411621,5761330,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Handforf
160,119,Wielerort,Schlagholz 58,406560,5751979,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
769,60,Sonnentau (Dep.),Zum Häpper 10,404147,5749161,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Amelsbüren
128,114,Maria Himmelfahrt,Im Sundern 59,409244,5761098,http://www.st-petronilla.de/kindertagesstaetten/st-mariae-himmelfahrt.html,Gelmer/Dyckburg
90,26,Albachten,Albachtener Straße 91,398574,5753879,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Albachten
165,142,Lummerland,Rilkeweg 43,405557,5751092,https://www.drk-muenster.de/angebot/kita/lummerland/index.php,Hiltrup
73,24,Gievenbeck,Weitkampweg 1,401059,5758921,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Gievenbeck
52,14,Grünschnäbel,Burgstraße 5,405425,5756430,-,Josef
314,153,Holtrode,Holtrode 17,412856,5753294,http://www.outlaw-jugendhilfe.de/,Wolbeck
148,52,Lauheide,Münsterstraße 76,412381,5753963,http://www.kindergruppe-lauheide.de,Wolbeck
147,50,Regenbogenkindertagesstätte Wolbeck,Münsterstraße 76b,412377,5753913,http://www.regenbogenkita.de,Wolbeck
105,41,St. Josef,Pastorsesch 17,404656,5761683,http://www.st-marien-und-st-josef.de/orte-des-gemeindelebens/kita-st-josef/,Kinderhaus-Ost
745,122,Hiltrup-West (Dep.),Helene-Weigel-Weg 4,405252,5751012,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
768,,Lacki Kids,Max-Winkelmann-Straße 82,407298,5751159,http://mue.lackikids.educcare.de/,Hiltrup
307,158,Chamäleon,Rudolf-Harbig-Weg 38a,403592,5759131,https://www.stw-muenster.de/de/kinder/chamaeleon/info/,Sentrup
139,149,Angelmodde,Alt Angelmodde 11d,410517,5753219,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-alt-angelmodde/kita-angelmodde.html,Angelmodde
48,17,Matthaeuskindergarten,Antoniusstraße 32,405262,5756703,http://www.matthaeusgemeinde.org,Josef
458,399,DRK Kita Farbenspiel,Hüfferstraße 19,404500,5757649,-,Schloss
80,130,Wirbelwind,Corrensstraße 84,403648,5758664,https://www.drk-muenster.de/angebot/kita/wirbelwind/index.php,Sentrup
961,415,St. Maria Magdalena (Holunderweg),Holunderweg 80,404806,5765892,-,Sprakel
275,65,K.E.K.K.I.,Maximilianstraße 6,406133,5758584,https://kekki.habanunu.de/willkommen/wir-stellen-uns-vor,Schlachthof
66,72,Jakobus-Kindergarten,Von-Ossietzky-Straße 16,403947,5755622,http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/jakobus-kiga/,Aaseestadt
104,37,Am Edelbach,Coerdestiege 15,407570,5761076,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Coerde
311,152,Sprakel,Im Draum 34b,404816,5766207,http://www.outlaw-ggmbh.de/kita-sprakel/,Sprakel
162,121,Burgwall,Böttcherstraße 2,405285,5751428,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Hiltrup
127,115,St. Josef,Gelmerheide 1,409153,5765199,http://www.st-petronilla.de/kindertageseinrichtungen/st-josef.html,Gelmer/Dyckburg
30,89,St. Erpho,Erphokirchplatz 6,407157,5758272,http://www.sankt-mauritz.com/kita-erpho,Mauritz-Mitte
11,161,Heinrich-Piepmeyer-Haus,Hüfferstraße 41,404210,5757567,http://www.heinrich-piepmeyer-haus.de,Mitte
34,86,Filou,Admiral-Spee-Straße 8,407909,5758207,https://filou.habanunu.de/willkommen,Mauritz-Mitte
144,136,Am Drostenhof,Marktstraße 9,412429,5752617,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Wolbeck
1023,425,St. Martini,Stiftsherrenstraße 12,405879,5758194,-,Martini
27,126,An der Gartenstrasse,Gartenstraße 194,406419,5759473,http://www.stadt-muenster.de/jugendamt/kindertagesbetreuung/kindertageseinrichtungen.html,Schlachthof
25,92,Sonnenblume,Dreizehnerstraße 42,404410,5760169,http://www.kita-sonnenblume-muenster.de/,Uppenberg
320,232,Pezzettino,Wiedeiken 30,404399,5748409,http://www.ev-jugendhilfe.de/,Amelsbüren
3,7,Apostelkindergarten,An der Apostelkirche 1,405734,5758014,http://www.apostelkirchengemeinde-muenster.de/,Mitte
46,10,St. Antonius,An den Bleichen 15,404844,5756721,http://www.st-joseph-muenster-sued.de/einrichtungen/kindergaerten/antonius-kindergarten/,Pluggendorf
57,79,Am Inselbogen,Gut Insel 24,404717,5755160,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Geist
346,282,Ev. Kita Schmittingheide,Schmittingheide 72,408809,5755964,https://www.ev-kita-psh.com/,Mauritz-Ost
767,108,Kinderhaus (Dep.),Kristiansandstraße 141,404013,5761599,http://www.muenster.de/stadt/jugendamt/e_kitas-liste.html,Kinderhaus
238,61,Kleine Wiese,Kanalstraße 155,406118,5759553,http://www.kleinewieseev.de,Kreuz
4,144,Fürstenbergstrasse,Fürstenbergstraße 7,406219,5757954,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-fuerstenberstrasse/kita-fz-fuerstenbergstrasse.html,Schlachthof
318,182,Burgstraße,Burgstraße 2a,405436,5756469,-,Josef
116,38,Glühwürmchen,Grevener Straße 403,404858,5762122,http://www.die-gluehwuermchen.de,Neutor
117,39,Grünhaus,Grevener Straße 403,404830,5762122,http://www.kindergruppe-gruenhaus.de/,Neutor
102,148,Nerzweg,Nerzweg 11,406499,5761676,http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-nerzweg/kindertageseinrichtung-nerzweg.html,Coerde
456,369,Marie-Curie-Straße,Marie-Curie-Straße 1,406056,5750669,http://www.outlaw-ggmbh.de/kita-marie-curie-strasse/,Hiltrup
317,155,Johannes-Busch-Haus,Merschkamp 25,408279,5757245,http://www.cvjmmuenster.de/,Mauritz-Ost
1001,262,Schatzkiste,Wiegandweg 36,408470,5753437,https://www.drk-muenster.de/angebot/kita/schatzkiste/index.php,Gremmendorf
924,411,Julius-Moses-Kita,Dahlweg 118,405751,5755189,-,Schützenhof
463,409,Kita am Emmy-Herzog-Platz,Emmy-Herzog-Platz 2,407311,5759448,-,Rumphorst
